City,Date,Day_of_Week,Latitude,Longitude,Ride_Distance_KM,Ride_Type,Weather,Event,Payment_Type,Available_Drivers,Demand_Level,Surge_Multiplier,Final_Fare,Hour_of_Day,Is_Weekend,Driver_Performance_Score,Driver_XP,Ride_Priority,Fare_Acceptance,Cancellation_Rate,Time_of_Day,Demand_Score,Driver_Availability,Traffic_Delay,Cancellation_Probability,Driver_Trust_Score,Rider_Trust_Score,Leaderboard_Rank
Hyderabad,06-08-2024,1,17.35325298,78.4663324,6.76,Economy,Cloudy,Festival,UPI,0.940635,0.408931,1,92.84,5,0,97.53,554,96.17,0.857885,0.07,Afternoon,80,46,15,0.2,100,100,Below Average
Mumbai,26-09-2024,3,19.05983898,72.85887682,3.34,Premium,Stormy,Political Rally,Card,0.236479,0.818456,1.87,149.75,4,0,82.7,967,85.79,0.747193,0.07,Morning Peak,100,86,25,0.3,100,50,Below Average
Bangalore,27-07-2024,5,12.97685454,77.62530617,8.86,Luxury,Rainy,Festival,UPI,0.916087,0.837136,1,153.18,23,1,95.71,806,94.6,0.868523,0.08,Afternoon,100,32,15,0.3,100,100,Below Average
Mumbai,23-03-2025,6,19.0564395,72.86350799,15.95,Luxury,Cloudy,Concert,Cash,0.977525,0.933445,1,231.4,15,1,84.63,733,87.14,0.859991,0.07,Evening Peak,95,95,25,0.1,100,100,Below Average
Chennai,06-08-2024,1,13.11086905,80.30938078,19.5,Premium,Clear,None,Card,0.843581,0.807745,1,244.5,12,0,80.59,677,84.91,0.981357,0.05,Evening Peak,65,58,10,0.1,0,0,Below Average
Delhi,17-10-2024,3,28.71290082,77.07941792,16.48,Premium,Clear,IPL Match,UPI,0.466766,0.840493,1.56,311.69,17,0,81.38,975,84.57,0.707646,0.08,Afternoon,80,30,15,0.2,100,5,Below Average
Delhi,21-10-2024,0,28.73891373,77.08967667,1.93,Luxury,Clear,Concert,Cash,0.697425,0.593713,1,54.3,2,0,91.74,662,93.32,0.89032,0.03,Night,80,53,15,0.1,100,100,Below Average
Delhi,16-02-2025,6,28.65664892,77.13497355,13.51,Premium,Rainy,Concert,Cash,0.294377,0.990464,2.04,347,12,1,86.4,629,88.98,0.801697,0.05,Morning Peak,100,75,25,0.3,100,85,Below Average
Bangalore,15-01-2025,2,12.95769456,77.55857021,11.78,Premium,Stormy,None,UPI,0.579559,0.920623,1.51,288.62,4,0,96.08,795,94.86,0.800077,0.08,Night,70,67,0,0.5,100,0,Below Average
Hyderabad,03-08-2024,5,17.38104879,78.44522904,7.33,Luxury,Clear,Concert,Cash,0.768717,0.96086,1.29,126.38,19,1,85.06,686,89.24,0.841066,0.01,Night,80,46,15,0.2,100,100,Below Average
Bangalore,14-12-2024,5,13.00235907,77.64128112,16.28,Premium,Clear,Concert,Cash,0.430289,0.537023,1.16,289.58,4,1,85.48,542,88.64,0.991275,0.04,Afternoon,80,100,15,0.1,100,100,Below Average
Bangalore,12-01-2025,6,13.01672602,77.63895528,7.65,Economy,Rainy,Concert,Cash,0.328377,0.475942,1.22,167.69,0,1,91.5,586,91.95,0.787574,0.07,Night,100,45,15,0.3,100,100,Below Average
Mumbai,29-08-2024,3,19.03434241,72.92466238,7.36,Economy,Stormy,Political Rally,Cash,0.599046,0.466938,1,128.32,6,0,81.93,720,85.25,0.784902,0.07,Morning Peak,100,51,25,0.3,100,25,Below Average
Chennai,17-12-2024,1,13.0743002,80.26010302,13.87,Premium,Rainy,Political Rally,UPI,0.681147,0.8452,1.25,228.21,9,0,98.39,576,97.67,0.998215,0.04,Afternoon,100,73,15,0.3,100,100,Below Average
Bangalore,19-02-2025,2,12.93302371,77.62546711,5.81,Premium,Rainy,Political Rally,Cash,0.698497,0.724975,1.04,118.07,10,0,98.46,922,97.72,0.916028,0.04,Afternoon,100,62,15,0.3,100,0,Below Average
Chennai,04-06-2024,1,13.1236983,80.22918841,5.32,Premium,Stormy,Festival,Card,0.817621,0.64386,1,88.52,1,0,85.42,568,89.79,0.718873,0,Afternoon,100,59,15,0.3,100,50,Below Average
Delhi,05-02-2025,2,28.71077744,77.12732834,11.12,Luxury,Rainy,Political Rally,Card,0.917067,0.442632,1,146.2,8,0,89.02,985,91.11,0.799354,0.04,Night,100,60,15,0.3,100,0,Below Average
Chennai,09-04-2024,1,13.0777591,80.24626603,18.72,Economy,Rainy,Concert,Cash,0.513326,0.848308,1.5,353.88,18,0,90.41,962,92.09,0.882246,0.04,Evening Peak,100,69,25,0.3,100,0,Below Average
Chennai,24-05-2024,4,13.0711659,80.31522255,1.04,Premium,Clear,None,UPI,0.521567,0.846507,1.49,61.75,20,0,92.98,799,93.29,0.875233,0.06,Morning Peak,65,57,10,0.1,100,0,Below Average
Mumbai,03-03-2025,0,19.05356397,72.83209673,7.21,Premium,Rainy,IPL Match,Cash,0.786823,0.406468,1,126.52,16,0,92.35,986,91.94,0.888708,0.09,Afternoon,100,71,15,0.3,100,25,Below Average
Delhi,10-07-2024,2,28.68406139,77.13858092,0.64,Premium,Cloudy,Festival,Card,0.601262,0.485763,1,41.4,14,0,91.27,713,93.89,0.876709,0,Evening Peak,95,30,25,0.2,100,5,Average
Hyderabad,19-08-2024,0,17.38475021,78.48992659,17.83,Economy,Stormy,Political Rally,Card,0.865954,0.714748,1,192.47,17,0,95.34,602,96.14,0.972322,0.02,Night,100,69,15,0.3,100,25,Below Average
Hyderabad,25-10-2024,4,17.403178,78.51608431,1.36,Premium,Rainy,Political Rally,UPI,0.209548,0.669883,1.69,74.77,22,0,98.25,756,98.17,0.784204,0.02,Morning Peak,100,53,25,0.3,100,100,Below Average
Mumbai,14-01-2025,1,19.07899663,72.90369757,3.54,Luxury,Clear,Festival,Card,0.204128,0.905168,2.05,169.08,5,0,92.68,761,91.88,0.97126,0.1,Evening Peak,95,30,25,0.2,100,100,Below Average
Mumbai,02-08-2024,4,19.06392239,72.91734615,12.23,Economy,Clear,None,Card,0.396884,0.616969,1.33,248.39,12,0,84.74,932,88.12,0.989833,0.04,Afternoon,50,76,0,0.1,100,90,Below Average
Bangalore,25-02-2025,1,12.99758682,77.55874062,2.71,Economy,Clear,IPL Match,Cash,0.401023,0.54696,1.22,89.34,15,0,85.55,590,87.48,0.721529,0.08,Evening Peak,95,63,25,0.1,100,0,Below Average
Delhi,31-03-2024,6,28.68272791,77.09490047,6.41,Luxury,Stormy,None,Cash,0.7322,0.699181,1,99.1,13,1,93.32,691,93.22,0.889631,0.07,Night,70,76,0,0.5,100,55,Below Average
Hyderabad,03-11-2024,6,17.42547136,78.45806785,16.36,Premium,Rainy,Political Rally,Cash,0.304491,0.585577,1.42,254.52,11,1,94.38,945,94.87,0.939057,0.04,Morning Peak,100,81,25,0.3,100,100,Below Average
